index,topics
PLAIN-15,"['alternative medicine', 'AMA', 'brain disease', 'cancer', 'cardiovascular disease', 'cardiovascular health', 'cholesterol', 'Cleveland Clinic', 'coma', 'complementary medicine', 'Dr. Caldwell Esselstyn', 'heart disease', 'heart health', 'informed consent', 'LDL cholesterol', 'Lifestyle medicine', 'liver disease', 'liver health', 'medical ethics', 'medical profession', 'medications', 'morbidity', 'mortality', 'muscle health', 'plant-based diets', 'side effects', 'statins', 'stroke', 'surgery', 'vegans', 'vegetarians']"
PLAIN-16,"['antinutrients', 'beans', 'breast cancer', 'breast health', 'calcium', 'cancer', 'cancer survival', 'cardiovascular disease', 'cardiovascular health', 'chemotherapy', 'colon cancer', 'colon health', 'diabetes', 'fiber', 'fruit', 'grains', 'heart disease', 'heart health', 'kidney health', 'kidney stones', 'low-fat diets', 'metastases', 'mortality', 'National Cancer Institute', 'nuts', 'osteoporosis', 'phytates', 'phytic acid', 'polyps', 'prediabetes', 'seeds', 'side effects', 'vegetables', 'vitamins', ""women's health""]"
PLAIN-17,"['angiogenesis', 'animal fat', 'animal products', 'antiangiogenesis', 'antinutrients', 'antioxidants', 'aspirin', 'beans', 'blood cancer', 'bone marrow health', 'breast cancer', 'breast health', 'cancer', 'carcinogens', 'cardiovascular disease', 'cardiovascular health', 'cavities', 'cervical cancer', 'cervix health', 'colon cancer', 'colon health', 'dental health', 'diabetes', 'food additives', 'grains', 'heart disease', 'heart health', 'immune function', 'inflammation', 'kidney health', 'kidney stones', 'leukemia', 'liver cancer', 'liver health', 'meat', 'melanoma', ""men's health"", 'metastases', 'nuts', 'oxidative stress', 'pancreas health', 'pancreatic cancer', 'phytates', 'phytic acid', 'plant-based diets', 'prediabetes', 'prostate cancer', 'prostate health', 'seeds', 'skin cancer', 'vegans', 'vegetarians', 'voice box cancer', 'voice box health', ""women's health""]"
PLAIN-18,"['cancer', 'chicken', 'chickpeas', 'colon cancer', 'colon health', 'DNA damage', 'Dr. Denis Burkitt', 'fiber', 'fish', 'grains', 'iron', 'lentils', 'meat', 'nuts', 'oxidative stress', 'phytates', 'phytic acid', 'plant-based diets', 'poultry', 'processed foods', 'red meat', 'split peas', 'Standard American Diet', 'turkey', 'Uganda', 'vegans', 'vegetarians', 'white meat']"
PLAIN-19,"['abdominal fat', 'animal protein', 'Atkins diet', 'cardiovascular disease', 'cardiovascular health', 'chemotherapy', 'cholesterol', 'cocaine', 'Dr. Richard Fleming', 'fat', 'heart disease', 'heart health', 'LDL cholesterol', 'lifespan', 'longevity', 'low-carb diets', 'mortality', 'paleolithic diets', 'plant protein', 'plant-based diets', 'prehistoric diets', 'protein', 'Twinkies', 'vegans', 'vegetarians', 'weight loss']"
PLAIN-20,"['aging', 'cancer', 'carcinogens', 'cell death', 'chemotherapy', 'colon cancer', 'colon health', 'curcumin', 'curry powder', 'kidney cancer', 'kidney health', 'lung cancer', 'lung health', 'medications', 'nasal cavity cancer', 'pregnancy', 'skin cancer', 'skin health', 'spices', 'supplements', 'throat cancer', 'throat health', 'turmeric', 'water']"
PLAIN-21,"['antioxidants', 'cancer', 'carcinogens', 'chemotherapy', 'curcumin', 'curry powder', 'DNA damage', 'India', 'metastases', 'National Cancer Institute', 'oxidative stress', 'smoking', 'spices', 'tobacco', 'turmeric']"
PLAIN-22,"['antioxidants', 'beans', 'bladder cancer', 'bladder health', 'breast cancer', 'breast health', 'cancer', 'cancer survival', 'chemotherapy', 'chickpeas', 'China Study', 'colon cancer', 'curcumin', 'curry powder', 'endometrial cancer', 'fruit', 'India', 'industry influence', 'kidney cancer', 'kidney health', 'legumes', 'lentils', 'lung cancer', 'lung health', 'meat', 'medications', 'melanoma', ""men's health"", 'multiple myeloma', 'pancreatic cancer', 'plant-based diets', 'prostate cancer', 'prostate health', 'ranking foods', 'side effects', 'skin health', 'spices', 'turmeric', 'vegans', 'vegetables', 'vegetarians', ""women's health""]"
PLAIN-23,"['alkylphenols', 'allergies', 'anchovies', 'animal fat', 'asthma', 'biomagnification', 'breast cancer', 'breast disease', 'breast health', 'breast milk', 'breastfeeding', 'cancer', 'chicken', 'cod liver oil', 'eczema', 'endocrine disruptors', 'EPA', 'estrogen', 'Europe', 'fat', 'fish', 'fish oil', 'hormones', 'industrial toxins', 'infants', 'Japan', 'lard', 'lung disease', 'lung health', 'mackerel', 'memory', 'milk', 'persistent organic pollutants', 'phytoestrogens', 'plastic', 'poultry', 'pregnancy', 'salmon', 'seafood', 'soy', 'turkey', 'xenoestrogens']"
PLAIN-24,"['adolescence', 'alkylphenols', 'allergies', 'animal fat', 'animal products', 'animal studies', 'birth defects', 'body fat', 'breast cancer', 'breast development', 'breast health', 'breast milk', 'cancer', 'carcinogens', 'children', 'cognition', 'dairy', 'DDT', 'diabetes', 'eczema', 'endocrine disruptors', 'fat', 'fertility', 'fish', 'heterocyclic amines', 'immune function', 'industrial toxins', 'infants', 'infertility', 'inflammation', 'Japan', 'meat', ""men's health"", 'mental health', 'milk', 'nitrosamines', 'obesity', 'penis health', 'penis size', 'polycyclic aromatic hydrocarbons', 'prediabetes', 'pregnancy', 'premature puberty', 'prostate cancer', 'prostate health', 'puberty', 'saturated fat', 'sexual dysfunction', 'sexual health', 'sperm counts', 'testicular cancer', 'testicular health', 'testosterone', 'thyroid disease', 'thyroid health', ""women's health"", 'xenoestrogens']"
PLAIN-25,"['aging', 'anthocyanins', 'antioxidants', 'berries', 'blueberries', 'brain disease', 'brain health', 'chronic diseases', 'cognition', 'Concord grapes', 'dementia', 'evolution', 'fruit', 'fruit juice', 'grape juice', 'grapes', ""Harvard Nurses' Health Study"", 'inflammation', 'memory', 'oxidative stress', 'phytonutrients', 'placebo effect', 'plant-based diets', 'polyphenols', 'strawberries', 'supplements', 'vegetables', 'vitamin C', 'wrinkles']"
PLAIN-26,"['American Meat Institute', 'animal products', 'animal protein', 'animal studies', 'autoimmune diseases', 'celiac disease', 'chicken', 'cost savings', 'e. coli', 'E. coli o157:H7', 'fecal bacteria', 'fecal contamination', 'fish', 'food poisoning', 'foodborne illness', 'gluten', 'meat', 'meat glue', 'poultry', 'processed meat', 'salmon', 'steak', 'transglutaminase', 'turkey']"
PLAIN-27,"['animal products', 'artificial flavors', 'black tea', 'body fat', 'broccoli', 'cancer', 'carcinogens', 'chemotherapy', 'chicken', 'coffee', 'cooking methods', 'cooking temperature', 'cruciferous vegetables', 'DNA damage', 'exercise', 'fat', 'fish', 'fish sauce', 'Green tea', 'ham', 'herbal tea', 'herring', 'hormesis', 'liquid smoke', 'liver disease', 'liver health', 'lox', 'mesquite', 'mutation', 'oxidative stress', 'polycyclic aromatic hydrocarbons', 'poultry', 'safety limits', 'salmon', 'smoked foods', 'smoking', 'stress', 'tobacco', 'tumor suppressor genes', 'turkey', 'vegetables']"
PLAIN-28,"['aging', 'animal fat', 'animal products', 'antioxidants', 'cardiovascular disease', 'cardiovascular health', 'chicken', 'cholesterol', 'factory farming practices', 'farm animals', 'fat', 'heart disease', 'heart health', 'LDL cholesterol', 'mortality', 'multivitamins', 'nutrient synergy', 'oxidative stress', 'plant-based diets', 'poultry', 'stomach health', 'stroke', 'supplements', 'turkey']"
PLAIN-29,"['antioxidants', 'berries', 'blueberries', 'cancer', 'cancer survival', 'chemotherapy', 'chronic diseases', 'DNA damage', 'fruit', 'greens', 'industry influence', 'lifespan', 'lymphoma', 'mortality', 'multivitamins', 'non-Hodgkin lymphoma', 'nutrient synergy', 'oxidative stress', 'ranking foods', 'stomach cancer', 'stomach health', 'supplements', 'USDA', 'vegetables']"
PLAIN-31,"['alternative medicine', 'anxiety', 'aromatherapy', 'benzodiazepines', 'cancer', 'chemotherapy', 'citrus', 'complementary medicine', 'fragrance', 'France', 'fruit', 'massage', 'medications', 'mental health', 'oranges', 'plant-based diets', 'radiation', 'side effects', 'skin health', 'sunlight', 'Valium']"
PLAIN-32,"['American Egg Board', 'animal fat', 'bone fractures', 'bone health', 'calories', 'cardiovascular disease', 'cardiovascular health', 'chicken', 'cholesterol', 'chronic diseases', 'Coca Cola', 'cooking methods', 'eggs', 'elderly', 'factory farming practices', 'fat', 'food poisoning', 'foodborne illness', 'Freedom of Information Act', 'heart disease', 'heart health', 'industry influence', 'infants', 'LDL cholesterol', 'marketing', 'nutrient density', 'nutrition myths', 'poultry', 'pregnancy', 'protein', 'safety limits', 'salmonella', 'saturated fat', 'turkey', 'Twinkies', 'USDA', 'weight loss', 'zoonotic disease']"
PLAIN-33,"['Big Mac', 'body fat', 'calories', 'cancer', 'cardiovascular disease', 'cardiovascular health', 'children', 'diabetes', 'Europe', 'exercise', 'fast food', 'fat', 'french fries', 'heart disease', 'heart health', 'lifespan', 'low-fat diets', 'metabolism', 'nutrition myths', 'obesity', 'prediabetes', 'sexual health', 'soda', 'weight loss']"
PLAIN-34,"['cardiovascular disease', 'cardiovascular health', 'FDA', 'heart disease', 'heart health', 'industry influence', 'Marion Nestle', 'mortality', 'Pepsi', 'processed foods', 'safety limits', 'trans fats', 'USDA']"
PLAIN-35,"['campylobacter', 'chicken', 'cooking methods', 'cooking temperature', 'farm animals', 'fecal bacteria', 'fecal contamination', 'food poisoning', 'food recalls', 'foodborne illness', 'industry influence', 'Mexico', 'poultry', 'safety limits', 'Sweden', 'turkey', 'USDA']"
PLAIN-36,"['antibiotics', 'CDC', 'Center for Science in the Public Interest', 'chicken', 'children', 'Consumers Union', 'elderly', 'factory farming practices', 'fecal bacteria', 'fecal contamination', 'food poisoning', 'foodborne illness', 'industry influence', 'meat', 'mortality', 'Pew Commission', 'poultry', 'salmonella', 'turkey', 'USDA']"
PLAIN-37,"['animal products', 'chicken', 'fecal bacteria', 'fecal contamination', 'food poisoning', 'foodborne illness', 'fruit', 'mortality', 'norovirus', 'organic foods', 'pesticides', 'poultry', 'salmonella', 'turkey', 'vegetables', 'viral infections']"
PLAIN-38,"['American Heart Association', 'cardiovascular disease', 'cardiovascular health', 'DHA', 'fat', 'fish', 'fish oil', 'heart disease', 'heart health', 'industry influence', 'lifespan', 'medical profession', ""men's health"", 'mortality', 'nutrition myths', 'oils', 'omega-3 fatty acids', 'seafood', 'stroke', 'supplements']"
PLAIN-40,"['cancer', 'cancer survival', 'cardiovascular disease', 'cardiovascular health', 'cost savings', 'fruit', 'Harvard Physicians’ Study II', 'heart disease', 'heart health', 'Iowa Women’s Health Study', 'lifespan', 'longevity', 'mortality', 'multivitamins', 'stroke', 'supplements', 'vegetables', ""women's health""]"
PLAIN-41,"['amputations', 'blindness', 'cancer', 'cardiovascular disease', 'cardiovascular health', 'chronic diseases', 'diabetes', 'Dr. Dean Ornish', 'exercise', 'eye disease', 'eye health', 'heart disease', 'heart health', 'kidney disease', 'kidney failure', 'kidney function', 'kidney health', 'Lifestyle medicine', 'medical education', 'medical profession', 'mortality', 'smoking', 'stroke', 'tobacco', 'Yale']"
PLAIN-42,"['Africa', 'animal fat', 'animal products', 'beans', 'cancer', 'cardiovascular disease', 'cardiovascular health', 'corn', 'dietary guidelines', 'Dr. Denis Burkitt', 'fiber', 'heart disease', 'heart health', 'Japan', 'Lifestyle medicine', 'medical education', 'medical profession', 'mortality', 'Native Americans', 'plant-based diets', 'processed foods', 'salt', 'squash', 'Standard American Diet', 'stool size', 'sugar', 'vegans', 'vegetarians']"
PLAIN-43,"['almond milk', 'cancer', 'dairy', 'eggs', 'estrogen', 'factory farming practices', 'farm animals', 'growth promoters', 'hormones', 'Japan', 'meat', ""men's health"", 'metastases', 'milk', 'mortality', 'organic foods', 'organic milk', 'prostate cancer', 'prostate health', 'steroids']"
PLAIN-44,"['alternative medicine', 'bladder cancer', 'bladder disease', 'bladder health', 'calcium', 'cancer', 'complementary medicine', 'curcumin', 'DNA damage', 'flax seeds', 'gallbladder disease', 'gallbladder health', 'gallstones', 'gout', 'heavy metals', 'India', 'kidney disease', 'kidney function', 'kidney health', 'kidney stones', 'lead', 'liver disease', 'liver health', 'medications', 'mercury', 'oxalates', 'plutonium', 'pregnancy', 'safety limits', 'side effects', 'spices', 'supplements', 'turmeric']"
PLAIN-46,"['alternative medicine', 'aspirin', 'asthma', 'butter', 'cardiovascular disease', 'cardiovascular health', 'complementary medicine', 'curcumin', 'curry powder', 'fat', 'heart disease', 'heart health', 'herbs', 'India', 'liver health', 'malaria', 'medications', 'pepper', 'piperine', 'quinine', 'spices', 'tea', 'turmeric']"
PLAIN-47,"['aging', 'alternative medicine', 'animal fat', 'arthritis', 'autoimmune diseases', 'beans', 'cartilage health', 'chickpeas', 'China Study', 'citrus', 'complementary medicine', 'curcumin', 'dairy', 'exercise', 'fat', 'fruit', 'grains', 'grapes', 'Green tea', 'Ibuprofen', 'immune function', 'inflammation', 'joint disease', 'joint health', 'junk food', 'lentils', 'meat', 'medications', 'obesity', 'osteoarthritis', 'oxidative stress', 'pain', 'phytonutrients', 'polyphenols', 'pomegranates', 'saturated fat', 'soy', 'spices', 'split peas', 'Standard American Diet', 'tea', 'turmeric', 'vegetables']"
PLAIN-49,"['alternative medicine', 'arthritis', 'autoimmune diseases', 'bone health', 'bone marrow health', 'cartilage health', 'complementary medicine', 'curcumin', 'curry powder', 'eye health', 'ginger', 'Ibuprofen', 'immune function', 'inflammation', 'joint disease', 'joint health', 'lifespan', 'liver health', 'medications', 'pain', 'rheumatoid arthritis', 'side effects', 'spices', 'turmeric', 'World Health Organization']"
PLAIN-50,"['antioxidants', 'cinnamon', 'cooking methods', 'cooking temperature', 'curry powder', 'dairy', 'DNA damage', 'ginger', 'herbs', 'inflammation', 'milk', 'osteoarthritis', 'plant protein', 'protein', 'pumpkin', 'recipes', 'rosemary', 'soy', 'soy milk', 'spices', 'turmeric']"
PLAIN-51,"['alternative medicine', 'ankylosing spondylitis', 'antioxidants', 'autoimmune diseases', 'cancer', 'cancer survival', 'cardiovascular disease', 'cardiovascular health', 'Cayenne pepper', 'chicken', 'cholesterol', 'cinnamon', 'cloves', 'complementary medicine', 'cost savings', 'cumin', 'curcumin', 'DNA damage', 'ginger', 'heart disease', 'heart failure', 'heart health', 'herbs', 'inflammation', 'inflammatory bowel disease', 'medications', 'oregano', 'osteoarthritis', 'oxidative stress', 'pepper', 'poultry', 'psoriasis', 'rosemary', 'side effects', 'spices', 'Tumor necrosis factor', 'turmeric']"
PLAIN-52,"['antibiotics', 'beef', 'chicken', 'children', 'Consumers Union', 'factory farming practices', 'farm animals', 'FDA', 'fecal contamination', 'food poisoning', 'foodborne illness', 'meat', 'medications', 'organic foods', 'penicillin', 'pork', 'poultry', 'salmonella', 'superbugs', 'turkey', 'veggie burgers']"
PLAIN-53,"['anthocyanins', 'berries', 'bilberries', 'computer eye strain', 'currants', 'eye disease', 'eye health', 'fatigue', 'fruit', 'grapes', 'herbal remedies', 'industry influence', 'jam', 'raisins', 'supplements', 'vision']"
PLAIN-54,"['aging', 'anthocyanins', 'blindness', 'blueberries', 'cabbage', 'corn', 'currants', 'eye disease', 'eye health', 'fruit', 'glaucoma', 'Japan', 'macular degeneration', 'phytonutrients', 'potatoes', 'purple potatoes', 'rice', 'vision']"
PLAIN-55,"['aging', 'blindness', 'cardiovascular disease', 'cardiovascular health', 'chicken', 'cholesterol', 'eggs', 'eye disease', 'eye health', 'fat', 'glaucoma', 'goji berries', 'heart disease', 'heart health', 'LDL cholesterol', 'lettuce', 'lutein', 'macular degeneration', 'nuts', 'organic foods', 'oxidative stress', 'phytonutrients', 'poultry', 'seeds', 'spinach', 'vegetables', 'vision', 'zeaxanthin']"
PLAIN-56,"['African-American', 'antioxidants', 'bananas', 'blindness', 'calcium', 'carrots', 'collard greens', 'cooking methods', 'eye disease', 'eye health', 'fat', 'fruit', 'fruit juice', 'glaucoma', 'greens', 'iron', 'juice', 'kale', 'nuts', 'oils', 'orange juice', 'oranges', 'peaches', 'phytonutrients', 'seeds', 'supplements', 'tahini', 'vegetables', 'vision', ""women's health"", 'zeaxanthin']"
PLAIN-57,"['abdominal fat', 'animal products', 'beef', 'body fat', 'brain disease', 'brain health', 'children', 'cognition', 'DDT', 'detoxification', 'DHA', 'diabetes', 'dioxins', 'EPA', 'fat', 'FDA', 'fish', 'industrial toxins', 'infants', 'meat', 'mercury', 'obesity', 'omega-3 fatty acids', 'PBCs', 'persistent organic pollutants', 'prediabetes', 'pregnancy', 'red meat', 'reproductive health', 'seafood', 'tuna', 'vaccines', ""women's health""]"
PLAIN-58,"['berries', 'blueberries', 'cancer', 'cancer survival', 'cardamom', 'detoxification', 'exercise', 'fruit', 'goji berries', 'immune function', 'industry influence', 'inflammation', 'oxidative stress', 'pepper', 'spices']"
PLAIN-59,"['anemia', 'b12', 'blood pressure', 'blood sugar', 'bone health', 'brain disease', 'brain health', 'cardiovascular disease', 'cardiovascular health', 'China', 'cholesterol', 'cognition', 'depression', 'eggs', 'heart disease', 'heart health', 'homocysteine', 'hypertension', 'kidney disease', 'kidney failure', 'kidney function', 'kidney health', 'LDL cholesterol', 'meat', 'mental health', 'neuropathy', 'omnivores', 'oxidative stress', 'plant-based diets', 'stroke', 'supplements', 'triglycerides', 'vegans', 'vegetables', 'vegetarians', 'vitamin B12']"
PLAIN-60,"['beef', 'blood pressure', 'body fat', 'cardiovascular disease', 'cardiovascular health', 'chicken', 'cholesterol', 'dairy', 'eggs', 'exercise', 'fat', 'fish', 'heart disease', 'heart health', 'hypertension', 'LDL cholesterol', 'low-fat diets', 'meat', 'mortality', 'obesity', 'plant-based diets', 'pork', 'poultry', 'seafood', 'Standard American Diet', 'vegans', 'vegetarians', 'weight loss']"
PLAIN-61,"['antioxidants', 'apples', 'bananas', 'beans', 'beef', 'berries', 'beverages', 'blueberries', 'carrots', 'chicken', 'cucumbers', 'dates', 'dietary guidelines', 'fish', 'fruit', 'Green tea', 'ham', 'herbal tea', 'hibiscus tea', 'kidney beans', 'lettuce', 'meat', 'oregano', 'oxidative stress', 'peaches', 'peas', 'pork', 'poultry', 'seafood', 'sleep', 'smoking', 'spices', 'Standard American Diet', 'tea', 'tobacco', 'turkey', 'vegetables', 'watermelon']"
PLAIN-63,"['antioxidants', 'apples', 'bananas', 'beans', 'beef', 'berries', 'beverages', 'blueberries', 'carrots', 'chicken', 'cucumbers', 'dates', 'dietary guidelines', 'fish', 'fruit', 'Green tea', 'ham', 'herbal tea', 'hibiscus tea', 'kidney beans', 'lettuce', 'meat', 'oregano', 'oxidative stress', 'peaches', 'peas', 'pork', 'poultry', 'seafood', 'sleep', 'smoking', 'spices', 'Standard American Diet', 'tea', 'tobacco', 'turkey', 'vegetables', 'watermelon']"
PLAIN-64,"['antioxidants', 'chronic diseases', 'dietary guidelines', 'energy', 'fat', 'fruit', 'fruit juice', 'heart disease', 'heart health', 'immune function', 'juice', 'mortality', 'orange juice', 'oranges', 'oxidative stress', 'phytonutrients', 'Standard American Diet', 'sugar', 'vitamin C', 'vitamin E']"
PLAIN-65,"['aging', 'amputations', 'Asia', 'blindness', 'chronic diseases', 'diabetes', 'eggs', 'Europe', 'eye disease', 'eye health', 'Freedom of Information Act', 'Harvard', 'industry influence', 'kidney disease', 'kidney failure', 'kidney function', 'kidney health', 'lifespan', 'mortality']"
PLAIN-66,[]
PLAIN-67,"['animal studies', 'antinutrients', 'beans', 'bone fractures', 'bone health', 'bone mineral density', 'calcium', 'chickpeas', 'Fosamax', 'grains', 'legumes', 'lentils', 'medications', 'nuts', 'osteoporosis', 'phytates', 'polyphenols', 'seeds', 'side effects', 'split peas', 'sprouts', ""women's health""]"
PLAIN-68,"['animal fat', 'chicken', 'children', 'farm animals', 'fast food', 'fat', 'fecal bacteria', 'fecal contamination', 'meat', 'obesity', 'Physicians Committee for Responsible Medicine', 'pork', 'poultry', 'processed foods', 'processed meat', 'USDA']"
PLAIN-69,"['artificial colors', 'beer', 'beverages', 'California', 'cancer', 'caramel color', 'carcinogens', 'Coca Cola', 'food additives', 'gravy', 'industry influence', 'Pepsi', 'safety limits', 'soda', 'soy sauce']"
PLAIN-70,"['abdominal pain', 'Africa', 'appendicitis', 'beans', 'body fat', 'cancer', 'cancer survival', 'cardiovascular disease', 'cardiovascular health', 'colon cancer', 'colon health', 'constipation', 'corn', 'diabetes', 'diverticulosis', 'fat', 'fiber', 'gallbladder health', 'gallstones', 'heart disease', 'heart health', 'hemorrhoids', 'hernia', 'hiatal hernia', 'hypertension', 'lifespan', 'Lifestyle medicine', 'medical profession', 'mortality', 'obesity', 'plant-based diets', 'prediabetes', 'rectal cancer', 'Standard American Diet', 'stomach health', 'stomach ulcers', 'stool size', 'surgery', 'Uganda', 'varicose veins', 'vegans', 'vegetarians']"
PLAIN-71,"['Africa', 'animal fat', 'animal products', 'candy', 'cardiovascular disease', 'cardiovascular health', 'cavities', 'cholesterol', 'corn', 'dental health', 'exercise', 'fat', 'fruit', 'greens', 'heart disease', 'heart health', 'junk food', 'LDL cholesterol', 'Lifestyle medicine', 'medical profession', 'medications', 'millet', 'mortality', 'mouthwash', 'oral health', 'plant protein', 'plant-based diets', 'plantains', 'Pritikin', 'protein', 'pumpkin', 'trans fats', 'vegans', 'vegetable protein', 'vegetables', 'vegetarians']"
PLAIN-72,"['adolescence', 'algae', 'attention deficit', 'brain health', 'children', 'cognition', 'EPA', 'epilepsy', 'FDA', 'fish', 'heavy metals', 'infants', 'mackerel', 'mental health', 'mercury', 'omega-3 fatty acids', 'pregnancy', 'salmon', 'seafood', 'supplements', 'swordfish', 'tuna', 'vision', ""women's health""]"
PLAIN-73,"['brain health', 'children', 'cognition', 'fish', 'heavy metals', 'infants', 'mental health', 'mercury', 'pregnancy', 'safety limits', 'seafood', 'tuna', ""women's health""]"
PLAIN-74,"['addiction', 'animal fat', 'animal products', 'body fat', 'brain waves', 'burgers', 'caloric restriction', 'calories', 'cheese', 'cocaine', 'dopamine', 'energy', 'fat', 'hamburgers', 'ice cream', 'industry influence', 'junk food', 'low-fat diets', 'medications', 'mental health', 'plant-based diets', 'sexual dysfunction', 'sexual health', 'smoking', 'soda', 'sugar', 'tobacco', 'vegans', 'vegetarians', 'water', 'weight loss', 'yogurt']"
